,MKT
ITOT,23914129408.0
DIA,21614039040.0
SPY,275287670784.0
XLG,842611072.0
AIA,1077156480.0
GXC,1167455616.0
XLY,14352367616.0
XLE,9978409984.0
XLF,23675326464.0
XLV,18043512832.0
XLI,10040603648.0
XLB,3403495424.0
XLK,23339634688.0
XLU,11234997248.0
ICLN,369268032.0
CGW,741918016.0
WOOD,240967632.0
IYR,4701537280.0
F,35921997824.0
DIS,273207787520.0
MCD,146461523968.0
KO,228791779328.0
PEP,189401350144.0
JPM,413262577664.0
AAPL,1207756128256.0
PFE,213174304768.0
JNJ,361855811584.0
ED,28884844544.0
